order_id,order_date,amount,customer
ORD1000,2026-07-26,21730.88,cust_3085
ORD1001,2026-07-14,39730.26,cust_7706
ORD1002,2026-07-10,17363.66,cust_8209
ORD1003,2026-07-13,15489.7,cust_4238
ORD1004,2026-07-01,30184.23,cust_5839
ORD1005,2026-07-26,28982.87,cust_7827
ORD1006,2026-07-14,38792.49,cust_6661
ORD1007,2026-07-01,5498.78,cust_9712
ORD1008,2026-07-01,23733.46,cust_3742
ORD1009,2026-07-09,33811.67,cust_7829
ORD1010,2026-07-21,28081.27,cust_5710
ORD1011,2026-07-24,1417.49,cust_2722
ORD1012,2026-07-03,26332.74,cust_1955
ORD1013,2026-07-12,43701.07,cust_5836
ORD1014,2026-07-25,4954.96,cust_7466
ORD1015,2026-07-26,8165.26,cust_8550
ORD1016,2026-07-05,39565.34,cust_8316
ORD1017,2026-07-14,25503.79,cust_3930
ORD1018,2026-07-09,9738.71,cust_8588
ORD1019,2026-07-06,37286.61,cust_8850
ORD1020,2026-07-22,8041.93,cust_2224
ORD1020,2026-07-22,8041.93,cust_2224
ORD1021,2026-07-15,23781.28,cust_2881
ORD1022,2026-07-26,22488.51,cust_6500
ORD1023,2026-07-18,12753.2,cust_1196
ORD1024,2026-07-09,7886.3,cust_1778
ORD1025,2026-07-02,15736.34,cust_4767
ORD1026,2026-07-06,37783.61,cust_1942
ORD1027,2026-07-08,36338.27,cust_2919
ORD1028,2026-07-06,12639.66,cust_6982
ORD1029,2026-07-18,41386.91,cust_3844
ORD1030,2026-07-21,43218.21,cust_9764
ORD1031,2026-07-04,32751.28,cust_3243
ORD1032,2026-07-02,34283.67,cust_7213
ORD1033,2026-07-12,39253.81,cust_4793
ORD1034,2026-07-11,34906.28,cust_6609
ORD1035,2026-07-10,8491.11,cust_2820
ORD1036,2026-07-17,33015.79,cust_1205
ORD1037,2026-07-13,41298.18,cust_2588
ORD1038,2026-07-19,20251.28,cust_2313
ORD1039,2026-07-27,7908.04,cust_8273
ORD1040,2026-07-09,14446.14,cust_1747
ORD1041,2026-07-10,42712.25,cust_3174
ORD1042,2026-07-26,25242.12,cust_5753
ORD1043,2026-07-26,3717.38,cust_6795
ORD1044,2026-07-11,38172.85,cust_6356
ORD1045,2026-07-13,36718.07,cust_4713
ORD1046,2026-07-23,30510.05,cust_5731
ORD1047,2026-07-14,23296.12,cust_4732
ORD1048,2026-07-17,18579.45,cust_1894
ORD1048,2026-07-17,18579.45,cust_1894
ORD1049,2026-07-08,29327.37,cust_3684
ORD1050,2026-07-14,692.19,cust_1470
ORD1051,2026-07-05,40575.38,cust_3944
ORD1052,2026-07-02,44519.48,cust_5171
ORD1053,2026-07-19,34506.89,cust_3438
ORD1054,2026-07-21,2084.22,cust_7485
ORD1055,2026-07-03,7870.81,cust_4822
ORD1056,2026-07-05,21778.64,cust_2490
ORD1057,2026-07-17,7614.6,cust_8940
ORD1058,2026-07-14,27706.65,cust_3843
ORD1059,2026-07-16,33347.77,cust_5070
ORD1060,2026-07-27,31049.3,cust_3749
ORD1061,2026-07-08,11202.47,cust_4715
ORD1062,2026-07-13,23834.6,cust_2187
ORD1063,2026-07-11,34636.78,cust_6475
ORD1064,2026-07-07,4818.19,cust_1484
ORD1065,2026-07-14,3265.83,cust_4106
ORD1066,2026-07-22,13531.98,cust_5394
ORD1067,2026-07-01,26187.81,cust_5838
ORD1067,2026-07-01,26187.81,cust_5838
ORD1068,2026-07-24,16722.03,cust_3609
ORD1069,2026-07-05,31498.44,cust_9697
ORD1070,2026-07-15,2981.1,cust_1445
ORD1071,2026-07-05,27567.87,cust_7219
ORD1072,2026-07-12,42390.64,cust_7148
ORD1073,2026-07-18,7328.05,cust_2213
ORD1074,2026-07-01,8329.44,cust_4639
ORD1075,2026-07-20,11888.41,cust_2154
ORD1076,2026-07-14,5571.39,cust_8140
ORD1077,2026-07-23,38058.87,cust_7058
ORD1078,2026-07-14,25346.53,cust_7157
ORD1079,2026-07-23,15846.82,cust_2911
ORD1080,2026-07-03,41899.3,cust_4599
ORD1081,2026-07-20,5059.85,cust_6026
ORD1081,2026-07-20,5059.85,cust_6026
ORD1082,2026-07-07,20180.79,cust_8286
ORD1083,2026-07-20,33594.86,cust_2271
ORD1083,2026-07-20,33594.86,cust_2271
ORD1084,2026-07-04,33327.98,cust_5625
ORD1085,2026-07-25,42412.27,cust_8234
ORD1086,2026-07-26,41861.92,cust_6257
ORD1087,2026-07-20,31368.22,cust_2734
ORD1088,2026-07-25,9774.4,cust_5583
ORD1089,2026-07-24,22308.72,cust_2394
ORD1090,2026-07-02,25558.11,cust_3125
ORD1091,2026-07-07,19339.81,cust_1290
ORD1091,2026-07-07,19339.81,cust_1290
ORD1092,2026-07-04,36070.73,cust_4572
ORD1093,2026-07-22,28987.34,cust_2751
ORD1094,2026-07-14,37450.83,cust_5700
ORD1095,2026-07-27,6500.21,cust_5699
ORD1096,2026-07-23,18984.02,cust_6075
ORD1097,2026-07-25,19129.38,cust_2577
ORD1098,2026-07-09,42712.67,cust_5978
ORD1099,2026-07-28,44407.81,cust_3593
ORD1100,2026-07-24,6002.01,cust_2144
ORD1101,2026-07-16,17906.49,cust_5763
ORD1102,2026-07-07,38148.81,cust_9218
ORD1103,2026-07-09,22754.65,cust_4020
ORD1104,2026-07-05,8969.46,cust_9362
ORD1105,2026-07-26,22860.88,cust_6817
ORD1106,2026-07-08,25232.45,cust_3368
ORD1107,2026-07-11,32758.86,cust_7546
ORD1108,2026-07-01,19283.09,cust_7975
ORD1108,2026-07-01,19283.09,cust_7975
ORD1109,2026-07-04,4222.83,cust_4196
ORD1110,2026-07-25,11255.58,cust_4140
ORD1111,2026-07-05,33047.1,cust_6087
ORD1112,2026-07-27,25196.23,cust_4112
ORD1113,2026-07-11,1618.82,cust_4571
ORD1114,2026-07-13,15397.62,cust_1701
ORD1115,2026-07-21,43501.62,cust_8856
ORD1116,2026-07-05,2414.24,cust_6326
ORD1117,2026-07-28,9787.12,cust_9570
ORD1118,2026-07-06,27366.27,cust_3894
ORD1119,2026-07-01,1230.48,cust_6636
