order_id,order_date,amount,customer
ORD-00001,2026-08-02,799,Aarav Sharma
ORD-00002,2026-08-03,1499,Priya Patel
ORD-00003,2026-08-04,1200,Rahul Verma
ORD-00004,2026-08-05,799,Ananya Singh
ORD-00005,2026-08-06,4999,Rohan Mehta
ORD-00006,2026-08-07,499,Sneha Joshi
ORD-00007,2026-08-08,1200,Aditya Rao
ORD-00008,2026-08-09,4999,Isha Kapoor
ORD-00009,2026-08-10,499,Vikram Shah
ORD-00010,2026-08-11,1200,Neha Gupta
ORD-00011,2026-08-12,4999,Karan Malhotra
ORD-00012,2026-08-01,1200,Pooja Nair
ORD-00013,2026-08-02,7999,Arjun Desai
ORD-00014,2026-08-03,499,Meera Iyer
ORD-00015,2026-08-04,2499,Kabir Khan
ORD-00016,2026-08-05,999,Riya Agarwal
ORD-00017,2026-08-06,799,Nikhil Jain
ORD-00018,2026-08-07,2499,Tanya Sethi
ORD-00019,2026-08-08,1999,Dev Patel
ORD-00020,2026-08-09,7999,Simran Kaur
ORD-00021,2026-08-10,499,Aarav Sharma
ORD-00022,2026-08-11,3499,Priya Patel
ORD-00023,2026-08-12,799,Rahul Verma
ORD-00024,2026-08-01,799,Ananya Singh
ORD-00025,2026-08-02,1499,Rohan Mehta
ORD-00026,2026-08-03,7999,Sneha Joshi
ORD-00027,2026-08-04,799,Aditya Rao
ORD-00028,2026-08-05,1200,Isha Kapoor
ORD-00029,2026-08-06,799,Vikram Shah
ORD-00030,2026-08-07,799,Neha Gupta
ORD-00031,2026-08-08,1499,Karan Malhotra
ORD-00032,2026-08-09,1999,Pooja Nair
ORD-00033,2026-08-10,1999,Arjun Desai
ORD-00034,2026-08-11,1200,Meera Iyer
ORD-00035,2026-08-12,1499,Kabir Khan
ORD-00036,2026-08-01,7999,Riya Agarwal
ORD-00037,2026-08-02,4999,Nikhil Jain
ORD-00038,2026-08-03,1200,Tanya Sethi
ORD-00039,2026-08-04,3499,Dev Patel
ORD-00040,2026-08-05,1499,Simran Kaur
ORD-00041,2026-08-06,4999,Aarav Sharma
ORD-00042,2026-08-07,1999,Priya Patel
ORD-00043,2026-08-08,1200,Rahul Verma
ORD-00044,2026-08-09,1999,Ananya Singh
ORD-00045,2026-08-10,1499,Rohan Mehta
ORD-00046,2026-08-11,7999,Sneha Joshi
ORD-00047,2026-08-12,1200,Aditya Rao
ORD-00048,2026-08-01,3499,Isha Kapoor
ORD-00049,2026-08-02,3499,Vikram Shah
ORD-00050,2026-08-03,1499,Neha Gupta
ORD-00051,2026-08-04,1200,Karan Malhotra
ORD-00052,2026-08-05,4999,Pooja Nair
ORD-00053,2026-08-06,1499,Arjun Desai
ORD-00054,2026-08-07,7999,Meera Iyer
ORD-00055,2026-08-08,7999,Kabir Khan
ORD-00056,2026-08-09,1200,Riya Agarwal
ORD-00057,2026-08-10,3499,Nikhil Jain
ORD-00058,2026-08-11,499,Tanya Sethi
ORD-00059,2026-08-12,999,Dev Patel
ORD-00060,2026-08-01,999,Simran Kaur
ORD-00061,2026-08-02,2499,Aarav Sharma
ORD-00062,2026-08-03,799,Priya Patel
ORD-00063,2026-08-04,2499,Rahul Verma
ORD-00064,2026-08-05,3499,Ananya Singh
ORD-00065,2026-08-06,1499,Rohan Mehta
ORD-00066,2026-08-07,799,Sneha Joshi
ORD-00067,2026-08-08,1499,Aditya Rao
ORD-00068,2026-08-09,1999,Isha Kapoor
ORD-00069,2026-08-10,1499,Vikram Shah
ORD-00070,2026-08-11,999,Neha Gupta
ORD-00071,2026-08-12,499,Karan Malhotra
ORD-00072,2026-08-01,1499,Pooja Nair
ORD-00073,2026-08-02,999,Arjun Desai
ORD-00074,2026-08-03,799,Meera Iyer
ORD-00075,2026-08-04,1499,Kabir Khan
ORD-00076,2026-08-05,999,Riya Agarwal
ORD-00077,2026-08-06,4999,Nikhil Jain
ORD-00078,2026-08-07,499,Tanya Sethi
ORD-00079,2026-08-08,1999,Dev Patel
ORD-00080,2026-08-09,499,Simran Kaur
ORD-00081,2026-08-10,1999,Aarav Sharma
ORD-00082,2026-08-11,1200,Priya Patel
ORD-00083,2026-08-12,1200,Rahul Verma
ORD-00084,2026-08-01,799,Ananya Singh
ORD-00085,2026-08-02,3499,Rohan Mehta
ORD-00086,2026-08-03,999,Sneha Joshi
ORD-00087,2026-08-04,4999,Aditya Rao
ORD-00088,2026-08-05,1499,Isha Kapoor
ORD-00089,2026-08-06,7999,Vikram Shah
ORD-00090,2026-08-07,1200,Neha Gupta
ORD-00091,2026-08-08,1200,Karan Malhotra
ORD-00092,2026-08-09,1499,Pooja Nair
ORD-00093,2026-08-10,1999,Arjun Desai
ORD-00094,2026-08-11,4999,Meera Iyer
ORD-00095,2026-08-12,799,Kabir Khan
ORD-00096,2026-08-01,799,Riya Agarwal
ORD-00097,2026-08-02,7999,Nikhil Jain
ORD-00098,2026-08-03,1200,Tanya Sethi
ORD-00099,2026-08-04,1200,Dev Patel
ORD-00100,2026-08-05,799,Simran Kaur
