order_id,order_date,amount,customer
ORD1000,2026-07-06,27671.78,cust_3726
ORD1001,2026-07-25,17895.79,cust_6599
ORD1002,2026-07-01,4583.45,cust_4427
ORD1003,2026-07-20,43411.91,cust_3326
ORD1004,2026-07-20,3522.97,cust_7408
ORD1005,2026-07-03,32967.12,cust_9776
ORD1006,2026-07-03,16586.79,cust_3330
ORD1007,2026-07-24,22469.34,cust_9360
ORD1008,2026-07-06,40545.38,cust_5176
ORD1009,2026-07-13,18697.97,cust_3838
ORD1010,2026-07-24,39573.9,cust_8546
ORD1011,2026-07-11,37536.74,cust_1502
ORD1012,2026-07-27,35410.17,cust_2746
ORD1013,2026-07-26,16108.51,cust_6497
ORD1014,2026-07-20,936.34,cust_4112
ORD1015,2026-07-03,7532.58,cust_6111
ORD1016,2026-07-06,2531.7,cust_8887
ORD1017,2026-07-27,44230.22,cust_7275
ORD1018,2026-07-19,26473.08,cust_2016
ORD1019,2026-07-01,12440.54,cust_3131
ORD1020,2026-07-12,24627.07,cust_3888
ORD1021,2026-07-24,11698.25,cust_7000
ORD1022,2026-07-17,30011.67,cust_5068
ORD1023,2026-07-10,34355.48,cust_1492
ORD1024,2026-07-21,9129.85,cust_4588
ORD1025,2026-07-28,16758.05,cust_8729
ORD1026,2026-07-28,835.5,cust_2631
ORD1027,2026-07-27,16935.96,cust_5617
ORD1027,2026-07-27,16935.96,cust_5617
ORD1028,2026-07-16,20006.33,cust_2897
ORD1029,2026-07-15,25210.78,cust_9063
ORD1030,2026-07-04,22080.82,cust_3847
ORD1031,2026-07-14,20091.83,cust_2938
ORD1032,2026-07-03,12341.01,cust_8273
ORD1033,2026-07-11,25188.06,cust_2171
ORD1034,2026-07-16,33617.87,cust_7163
ORD1035,2026-07-02,42494.37,cust_9598
ORD1036,2026-07-08,23708.69,cust_9363
ORD1037,2026-07-07,5016.74,cust_8820
ORD1038,2026-07-15,41622.18,cust_8551
ORD1039,2026-07-03,36399.68,cust_6207
ORD1040,2026-07-09,30000.58,cust_6918
ORD1041,2026-07-04,31804.58,cust_8781
ORD1042,2026-07-09,8508.79,cust_1178
ORD1042,2026-07-09,8508.79,cust_1178
ORD1043,2026-07-21,21428.51,cust_1527
ORD1044,2026-07-22,27419.32,cust_6971
ORD1045,2026-07-13,36261.77,cust_6275
ORD1046,2026-07-22,40671.01,cust_3977
ORD1047,2026-07-20,20902.54,cust_2342
ORD1048,2026-07-07,38329.04,cust_5672
ORD1049,2026-07-27,9023.12,cust_6144
ORD1050,2026-07-03,18388.64,cust_3706
ORD1051,2026-07-16,10872.99,cust_8816
ORD1052,2026-07-17,38470.43,cust_9062
ORD1053,2026-07-20,40817.35,cust_4152
ORD1054,2026-07-10,44981.39,cust_8480
ORD1055,2026-07-08,43884.68,cust_6272
ORD1056,2026-07-06,15770.82,cust_1376
ORD1057,2026-07-25,7712.43,cust_1002
ORD1058,2026-07-20,36621.85,cust_8440
ORD1058,2026-07-20,36621.85,cust_8440
ORD1059,2026-07-18,24879.89,cust_7333
ORD1060,2026-07-08,25513.59,cust_5487
ORD1061,2026-07-05,41011.39,cust_9555
ORD1062,2026-07-19,14794.22,cust_1932
ORD1063,2026-07-14,7953.82,cust_8412
ORD1064,2026-07-19,29945.86,cust_3470
ORD1065,2026-07-04,2795.79,cust_2705
ORD1066,2026-07-10,3638.79,cust_3870
ORD1067,2026-07-14,3763.73,cust_7174
ORD1068,2026-07-21,31903.13,cust_2910
ORD1069,2026-07-16,29786.45,cust_7054
ORD1070,2026-07-14,3882.96,cust_5150
ORD1071,2026-07-06,38745.35,cust_5188
ORD1072,2026-07-12,43055.44,cust_5217
ORD1073,2026-07-23,33486.97,cust_8728
ORD1074,2026-07-26,41445.38,cust_8289
ORD1075,2026-07-11,30668.25,cust_3953
ORD1076,2026-07-11,35463.24,cust_4815
ORD1077,2026-07-03,43126.78,cust_4393
ORD1078,2026-07-13,43290.8,cust_4809
ORD1079,2026-07-24,32015.73,cust_7227
ORD1080,2026-07-25,16738.37,cust_4646
ORD1081,2026-07-09,5532.82,cust_9353
ORD1082,2026-07-13,27911.22,cust_2274
ORD1083,2026-07-19,20708.41,cust_6440
ORD1083,2026-07-19,20708.41,cust_6440
ORD1084,2026-07-12,31847.38,cust_8163
ORD1085,2026-07-06,36605.9,cust_1288
ORD1086,2026-07-13,16951.94,cust_5787
ORD1087,2026-07-21,11561.44,cust_4216
ORD1088,2026-07-25,38337.56,cust_5190
ORD1089,2026-07-27,3380.53,cust_8453
ORD1090,2026-07-07,40420.26,cust_9763
ORD1091,2026-07-01,3617.28,cust_1077
ORD1092,2026-07-03,31466.94,cust_1064
ORD1093,2026-07-08,8266.83,cust_4872
ORD1094,2026-07-01,5583.13,cust_2449
ORD1095,2026-07-05,21409.24,cust_2201
ORD1096,2026-07-11,13483.74,cust_8845
ORD1097,2026-07-11,2946.63,cust_2375
ORD1098,2026-07-06,12317.29,cust_2038
ORD1099,2026-07-09,6363.54,cust_6384
ORD1100,2026-07-17,22384.72,cust_4086
ORD1101,2026-07-25,7349.5,cust_7927
ORD1102,2026-07-10,32406.97,cust_4758
ORD1103,2026-07-26,3710.91,cust_8740
ORD1104,2026-07-19,7275.12,cust_8408
ORD1105,2026-07-20,4652.85,cust_8731
ORD1106,2026-07-05,1085.1,cust_4535
ORD1107,2026-07-27,28711.25,cust_4947
ORD1108,2026-07-17,19344.69,cust_9735
ORD1109,2026-07-24,3040.13,cust_4748
ORD1110,2026-07-17,13440.86,cust_8442
ORD1111,2026-07-07,44388.04,cust_5272
ORD1112,2026-07-02,10570.86,cust_6552
ORD1113,2026-07-11,23769.46,cust_6019
ORD1114,2026-07-25,27609.94,cust_2460
