order_id,order_date,amount,currency,customer_name,channel
HSNE2480379,2026-05-13,4219.29,INR,Diya Banerjee,UPI
HSNE2449378,2026-04-21,499.00,INR,Meera Iyer,NETBANKING
HSNE2475010,2026-05-05,28669.22,INR,Pooja Nair,CARD
HSNE2481404,2026-05-21,2499.00,INR,Ananya Sharma,UPI
HSNE2493841,2026-05-10,16796.02,INR,Nandini Kaur,NETBANKING
HSNE2454143,2026-04-11,27890.08,INR,Riya Chakraborty,UPI
HSNE2490770,2026-05-07,6768.89,INR,Rohit Kulkarni,CARD
HSNE2496661,2026-05-10,10327.64,INR,Fatima Sheikh,CARD
HSNE2433310,2026-04-16,19728.74,INR,Yash Agarwal,CARD
HSNE2424087,2026-04-24,2499.00,INR,Harsh Vardhan,UPI
HSNE2407575,2026-05-15,35622.66,INR,Aditya Menon,CARD
HSNE2480750,2026-04-26,18651.32,INR,Aisha Khan,CARD
HSNE2418233,2026-04-24,21079.93,INR,Kavya Reddy,NETBANKING
HSNE2443440,2026-05-03,4542.75,INR,Harsh Vardhan,UPI
HSNE2489534,2026-04-12,9239.60,INR,Shreya Bansal,NETBANKING
HSNE2437221,2026-05-10,1499.00,INR,Arjun Malhotra,CARD
HSNE2450282,2026-04-26,1499.00,INR,Shreya Bansal,UPI
HSNE2408645,2026-04-15,2836.62,INR,Aarav Patel,CARD
HSNE2487458,2026-04-14,10461.45,INR,Vikram Singh,CARD
HSNE2469046,2026-04-06,4936.18,INR,Arjun Malhotra,UPI
HSNE2490123,2026-04-22,5129.67,INR,Nikhil Joshi,NETBANKING
HSNE2412707,2026-04-09,35643.02,INR,Siddharth Bose,NETBANKING
HSNE2488449,2026-05-15,1299.00,INR,Siddharth Bose,NETBANKING
HSNE2418509,2026-04-24,9557.23,INR,Arjun Malhotra,UPI
HSNE2462244,2026-05-07,2499.00,INR,Pranav Hegde,UPI
HSNE-2441863,2026-05-08,28753.50,INR,Sneha Pillai,CARD
HSNE2425423,2026-04-10,8361.37,INR,Aditya Menon,UPI
HSNE2414799,2026-05-21,23670.08,INR,Vikram Singh,NETBANKING
HSNE2438739,2026-04-30,11587.49,INR,Fatima Sheikh,CARD
HSNE2480578,2026-05-13,26776.06,INR,Yash Agarwal,CARD
HSNE2469404,2026-04-22,2499.00,INR,Shreya Bansal,UPI
HSNE2469606,2026-05-09,999.00,INR,Fatima Sheikh,NETBANKING
HSNE2484998,2026-04-06,1299.00,INR,Pranav Hegde,UPI
HSNE-2418382,2026-04-17,36987.87,INR,Nikhil Joshi,NETBANKING
HSNE2485589,2026-05-14,21368.04,INR,Jhanvi Kapoor,NETBANKING
HSNE2426410,2026-04-30,3089.10,INR,Pooja Nair,NETBANKING
HSNE2444198,2026-05-15,11969.74,INR,Gaurav Saxena,UPI
HSNE2462064,2026-04-29,499.00,INR,Ananya Sharma,UPI
HSNE2498451,2026-04-09,999.00,INR,Kunal Deshmukh,CARD
HSNE2456789,2026-04-12,1299.00,INR,Ananya Sharma,NETBANKING
HSNE2417737,2026-05-04,1299.00,INR,Riya Chakraborty,UPI
HSNE2497985,2026-04-19,9476.59,INR,Meera Iyer,UPI
HSNE2455834,2026-05-01,2499.00,INR,Ishita Ghosh,UPI
HSNE2467364,2026-04-06,9616.47,INR,Gaurav Saxena,UPI
HSNE2420985,2026-04-06,11032.16,INR,Aisha Khan,NETBANKING
HSNE2469841,2026-04-12,29746.06,INR,Aarav Patel,NETBANKING
HSNE2475232,2026-05-13,14304.07,INR,Pooja Nair,CARD
HSNE-2436631,2026-04-23,4398.27,INR,Aisha Khan,UPI
HSNE2460478,2026-05-17,31642.47,INR,Aditya Menon,NETBANKING
HSNE2490760,2026-05-01,999.00,INR,Siddharth Bose,CARD
HSNE2489996,2026-04-15,799.00,INR,Arjun Malhotra,NETBANKING
HSNE2492139,2026-05-10,11147.79,INR,Aditya Menon,UPI
HSNE2451619,2026-04-14,11354.29,INR,Sneha Pillai,NETBANKING
HSNE2459563,2026-04-16,15768.77,INR,Gaurav Saxena,NETBANKING
HSNE2464770,2026-04-14,1999.00,INR,Nikhil Joshi,CARD
HSNE2447453,2026-05-22,5369.88,INR,Diya Banerjee,UPI
HSNE2402538,2026-05-22,10460.90,INR,Nikhil Joshi,NETBANKING
HSNE2423872,2026-05-07,33059.07,INR,Arjun Malhotra,CARD
HSNE2467624,2026-04-21,17999.40,INR,Manish Tiwari,NETBANKING
HSNE2422797,2026-05-07,2499.00,INR,Riya Chakraborty,NETBANKING
HSNE2429765,2026-04-16,5183.17,INR,Nikhil Joshi,NETBANKING
HSNE2430070,2026-04-06,499.00,INR,Kunal Deshmukh,UPI
HSNE2432243,2026-04-17,12033.93,INR,Siddharth Bose,NETBANKING
HSNE2497492,2026-04-06,31485.39,INR,Ishita Ghosh,UPI
HSNE2421492,2026-05-20,10028.64,INR,Harsh Vardhan,UPI
HSNE2453503,2026-05-04,35531.92,INR,Shreya Bansal,UPI
HSNE2432064,2026-04-13,24525.05,INR,Yash Agarwal,UPI
HSNE2423896,2026-05-07,799.00,INR,Meera Iyer,CARD
