order_id,order_date,amount,currency,customer_name,channel
pay_x6WL6tvoxe,2025-12-10,31758.39,INR,Diya Banerjee,CARD
pay_5GmLU0JESk,2026-02-04,1001.00,INR,Pooja Nair,UPI
pay_5bmJjnIaCY,2025-12-25,72245.27,INR,Jhanvi Kapoor,UPI
pay_AqpxujSWkx,2025-12-05,1001.00,INR,Kavya Reddy,UPI
pay_PQeMFJHDZT,2026-01-23,6240.85,INR,Ishita Ghosh,NETBANKING
pay_UvGqdhBxwR,2025-12-29,70196.35,INR,Kavya Reddy,UPI
pay_eIVK0Qg1XS,2026-01-15,8861.80,INR,Siddharth Bose,CARD
pay_B6ETU4X86t,2026-01-28,19298.61,INR,Kavya Reddy,NETBANKING
pay_Uf890AhJMi,2026-02-06,250.00,INR,Yash Agarwal,NETBANKING
pay_Yov5XTga5G,2025-12-20,4914.47,INR,Leela Krishnan,CARD
pay_7pjWHdw8qx,2026-01-11,6586.54,INR,Vikram Singh,CARD
pay_wTAZgcgZK2,2025-12-16,68701.66,INR,Tanvi Rao,UPI
pay_gpJA91QBeL,2026-01-26,168464.77,INR,Jhanvi Kapoor,UPI
pay_Fuuoh0GPyT,2025-12-10,90264.35,INR,Pooja Nair,NETBANKING
pay_mzZtTu3aih,2025-12-16,10579.32,INR,Kavya Reddy,UPI
pay_Udv8joDz8Q,2026-01-14,2501.00,INR,Meera Iyer,UPI
pay_FICohxCvWZ,2026-01-02,101.00,INR,Aarav Patel,NETBANKING
pay_hADBwFZaIa,2025-12-09,101.00,INR,Manish Tiwari,UPI
pay_BUzSWAfhBP,2025-12-12,5869.68,INR,Yash Agarwal,CARD
pay_TcK181kSs1,2026-02-01,163930.33,INR,Pooja Nair,NETBANKING
pay_x0CHeIkPt6,2026-01-25,1410.32,INR,Nikhil Joshi,NETBANKING
pay_5law0UdoBF,2025-12-17,74824.75,INR,Riya Chakraborty,CARD
pay_QuWc2vastF,2026-02-08,2501.00,INR,Aditya Menon,NETBANKING
pay_QaO38CLCyU,2026-01-10,51896.99,INR,Fatima Sheikh,UPI
pay_0UIFSLzS78,2026-01-24,115846.43,INR,Riya Chakraborty,UPI
pay_2oU1NxeguH,2026-01-31,250.00,INR,Diya Banerjee,NETBANKING
pay_NXzmXkbNGq,2026-01-20,78991.23,INR,Shreya Bansal,UPI
pay_LMiTMpLFMh,2025-12-04,23193.33,INR,Aisha Khan,UPI
pay_q1CbPoyPpF,2026-01-15,7920.10,INR,Ishita Ghosh,UPI
pay_IefaNmKSde,2025-12-18,19996.92,INR,Rohit Kulkarni,UPI
pay_yExU9aPTww,2025-12-06,39638.14,INR,Vikram Singh,UPI
pay_DevAJb5gPf,2026-01-19,27269.61,INR,Nikhil Joshi,CARD
pay_aLbsLloKvB,2025-12-12,2027.37,INR,Meera Iyer,CARD
pay_kfqtq2IdsR,2025-12-13,142739.63,INR,Siddharth Bose,CARD
pay_F3PKBcoVbv,2026-01-24,18499.00,INR,Mohan Lal,NETBANKING
pay_VEZ7puFcv8,2026-01-31,18499.00,INR,Leela Krishnan,CARD
pay_punRjkUdjE,2026-01-10,5299.00,INR,Rajesh Kumar,UPI
pay_bmQds8gN9e,2026-01-31,5299.00,INR,Rajesh Kumarr,UPI
pay_gPv4KltczG,2026-01-03,1001.00,INR,Yash Agarwal,UPI
pay_gPv4Kltcz0,2025-12-23,17337.17,INR,Bhavya Nanda,CARD
pay_x6eBYWiEiz,2026-01-18,7246.27,INR,Pooja Nair,NETBANKING
pay_vqkwTlPmoD,2026-01-13,91451.77,INR,Aditya Menon,UPI
pay_xcGxvvexqV,2026-01-21,100377.40,INR,Ananya Sharma,CARD
pay_ephfVs6vX7,2026-02-03,27572.64,INR,Gaurav Saxena,CARD
pay_vek0y4M5rD,2026-01-21,113013.14,INR,Ananya Sharma,NETBANKING
pay_4Q0M3Tdh7I,2026-02-05,8710.17,INR,Meera Iyer,CARD
pay_mAoP2Sh4oA,2026-01-25,250.00,INR,Nikhil Joshi,UPI
pay_x5zburvvHA,2026-02-06,11537.44,INR,Gaurav Saxena,UPI
pay_Bf3RfBqw7R,2026-01-18,26062.86,INR,Siddharth Bose,CARD
pay_OOoM1jm4Bn,2025-12-12,103538.43,INR,Jhanvi Kapoor,CARD
pay_STxfPMkE2o,2025-12-03,45358.87,INR,Kavya Reddy,UPI
pay_FaYKSMCDLg,2025-12-17,2501.00,INR,Leela Krishnan,CARD
pay_LlJ2DlOXel,2026-01-01,133587.48,INR,Pooja Nair,CARD
pay_KzIE2hPbVy,2025-12-22,7940.50,INR,Siddharth Bose,CARD
pay_g950vxaNxd,2025-12-22,21386.60,INR,Meera Iyer,NETBANKING
pay_Mf6MixmXvT,2026-02-01,2501.00,INR,Ananya Sharma,UPI
pay_8ErT4OeuFm,2026-01-13,117662.35,INR,Jhanvi Kapoor,UPI
pay_2JgS6BWRSS,2025-12-12,42430.07,INR,Leela Krishnan,CARD
pay_0oesuWX8wC,2025-12-03,144632.63,INR,Meera Iyer,NETBANKING
pay_Qg0hj7YyFs,2026-01-03,13428.53,INR,Manish Tiwari,UPI
pay_84tm0xabBs,2026-01-13,1018.54,INR,Meera Iyer,UPI
pay_HiuUtgUFux,2026-01-03,166931.59,INR,Pooja Nair,CARD
pay_kIAnEKVzmb,2025-12-20,1001.00,INR,Ishita Ghosh,CARD
pay_wSeu81ArIL,2026-01-06,42003.90,INR,Nandini Kaur,NETBANKING
pay_mei2gGLdKH,2025-12-23,157064.53,INR,Tanvi Rao,NETBANKING
pay_lYzBlh3VBC,2025-12-31,13321.88,INR,Shreya Bansal,NETBANKING
pay_gRZC3UxVRB,2026-01-22,1001.00,INR,Nandini Kaur,NETBANKING
pay_uVVSS3vM1L,2026-01-02,501.00,INR,Kunal Deshmukh,UPI
pay_Ecdo7DSFBl,2026-01-27,18499.00,INR,Kunal Deshmukh,UPI
pay_B3yY4Qaw8U,2025-12-23,152783.41,INR,Yash Agarwal,NETBANKING
pay_wJFJmwhQ6x,2025-12-17,153762.23,INR,Shreya Bansal,UPI
pay_Ws6EmFNumB,2026-02-03,40760.55,INR,Pooja Nair,UPI
pay_WhXaVe3UDz,2026-01-14,7600.00,INR,Karthik Raman,NETBANKING
pay_aPzFNeNGuC,2026-01-16,7600.00,INR,Karthik Raman,CARD
pay_itaf2CDCop,2026-02-08,79699.45,INR,Sneha Pillai,UPI
pay_7hYEFWHIw6,2026-02-03,78709.78,INR,Pooja Nair,CARD
