order_id,order_date,amount,currency,customer_name,channel
RZPM4897411,2026-03-02,349.00,INR,Vikram Singh,NETBANKING
RZPM4162027,2026-01-18,91872.27,INR,Nikhil Joshi,NETBANKING
RZPM-4650384,2026-03-12,7929.40,INR,Diya Banerjee,CARD
RZPM4508108,2026-03-07,26708.23,INR,Nikhil Joshi,CARD
RZPM4293636,2026-03-10,899.00,INR,Yash Agarwal,NETBANKING
RZPM4113565,2026-02-09,52587.95,INR,Riya Chakraborty,CARD
RZPM4248817,2026-01-14,103205.18,INR,Riya Chakraborty,CARD
RZPM4788561,2026-02-04,33082.92,INR,Shreya Bansal,WALLET
RZPM4669235,2026-02-25,599.00,INR,Kavya Reddy,WALLET
RZPM4760454,2026-01-16,31266.67,INR,Fatima Sheikh,NETBANKING
RZPM4621292,2026-01-16,899.00,INR,Ananya Sharma,NETBANKING
RZPM4428066,2026-02-13,899.00,INR,Pooja Nair,WALLET
RZPM4323754,2026-01-25,124720.93,INR,Manish Tiwari,UPI
RZPM4434363,2026-01-23,3121.88,INR,Nandini Kaur,UPI
RZPM4698939,2026-01-23,349.00,INR,Shreya Bansal,UPI
RZPM4209577,2026-02-23,116116.27,INR,Sanjay Mehta,UPI
RZPM4768494,2026-01-29,599.00,INR,Aarav Patel,CARD
RZPM-4569968,2026-02-21,599.00,INR,Meera Iyer,WALLET
RZPM4202348,2026-02-06,18029.68,INR,Harsh Vardhan,UPI
RZPM4230540,2026-01-15,20032.18,INR,Aisha Khan,UPI
RZPM4383360,2026-02-13,74202.72,INR,Pranav Hegde,NETBANKING
RZPM4224524,2026-01-13,85643.54,INR,Nikhil Joshi,NETBANKING
RZPM4499231,2026-02-04,3999.00,INR,Aisha Khan,NETBANKING
RZPM4257121,2026-02-28,349.00,INR,Sneha Pillai,WALLET
RZPM4897859,2026-03-23,3999.00,INR,Arjun Malhotra,CARD
RZPM4724909,2026-01-10,66389.22,INR,Shreya Bansal,WALLET
RZPM4866991,2026-01-30,8732.54,INR,Ananya Sharma,NETBANKING
